configuration_id,task_id,checker_scope,verdict,elapsed_seconds
forall_opus_xhigh,121,retained_snapshot,accepted,80.8
forall_opus_xhigh,122,retained_snapshot,accepted,84.6
forall_opus_xhigh,123,retained_snapshot,accepted,68.1
forall_opus_xhigh,124,retained_snapshot,accepted,79.6
forall_opus_xhigh,125,retained_snapshot,accepted,75.6
forall_opus_xhigh,126,retained_snapshot,accepted,64.2
forall_opus_xhigh,127,retained_snapshot,accepted,64.2
forall_opus_xhigh,128,retained_snapshot,accepted,56.3
forall_opus_xhigh,129,retained_snapshot,accepted,68.7
forall_opus_xhigh,131,retained_snapshot,accepted,44.6
forall_opus_xhigh,132,retained_snapshot,accepted,72.6
forall_opus_xhigh,133,retained_snapshot,accepted,81.1
forall_opus_xhigh,134,retained_snapshot,accepted,87.9
forall_opus_xhigh,135,retained_snapshot,accepted,35.5
forall_opus_xhigh,136,retained_snapshot,accepted,31.9
forall_opus_xhigh,137,retained_snapshot,accepted,62.8
forall_opus_xhigh,138,retained_snapshot,accepted,51.0
forall_opus_xhigh,139,retained_snapshot,accepted,64.3
forall_opus_xhigh,140,retained_snapshot,accepted,91.6
forall_opus_xhigh,141,retained_snapshot,accepted,86.3
forall_opus_xhigh,142,retained_snapshot,accepted,61.3
forall_opus_xhigh,143,retained_snapshot,accepted,53.0
forall_opus_xhigh,144,retained_snapshot,accepted,27.9
forall_opus_xhigh,145,retained_snapshot,accepted,70.0
forall_opus_xhigh,146,retained_snapshot,accepted,42.8
forall_opus_xhigh,147,retained_snapshot,accepted,35.2
forall_opus_xhigh,148,retained_snapshot,accepted,33.4
forall_opus_xhigh,150,retained_snapshot,accepted,38.0
forall_opus_xhigh,152,retained_snapshot,accepted,44.4
forall_opus_xhigh,153,retained_snapshot,accepted,62.2
forall_opus_xhigh,154,retained_snapshot,accepted,69.0
forall_opus_xhigh,155,retained_snapshot,accepted,96.2
forall_opus_xhigh,156,retained_snapshot,accepted,70.0
forall_opus_xhigh,157,retained_snapshot,accepted,80.7
forall_opus_xhigh,158,retained_snapshot,harness_module_artifact,83.2
forall_opus_xhigh,159,retained_snapshot,accepted,68.1
forall_opus_xhigh,160,retained_snapshot,accepted,45.0
forall_opus_xhigh,161,retained_snapshot,accepted,65.1
forall_opus_xhigh,163,retained_snapshot,accepted,65.6
forall_opus_xhigh,164,retained_snapshot,accepted,59.4
forall_opus_xhigh,165,retained_snapshot,accepted,53.3
forall_opus_xhigh,168,retained_snapshot,accepted,55.1
forall_opus_xhigh,169,retained_snapshot,accepted,62.4
forall_opus_xhigh,171,retained_snapshot,accepted,84.3
forall_opus_xhigh,176,retained_snapshot,accepted,54.1
forall_opus_xhigh,178,retained_snapshot,accepted,73.7
forall_opus_xhigh,265,retained_snapshot,accepted,3.6
forall_opus_xhigh,266,retained_snapshot,accepted,3.1
forall_opus_xhigh,268,retained_snapshot,accepted,2.8
forall_opus_xhigh,445,retained_snapshot,accepted,99.0
forall_opus_xhigh,446,retained_snapshot,accepted,57.4
forall_opus_xhigh,447,retained_snapshot,accepted,103.9
forall_opus_xhigh,450,retained_snapshot,accepted,96.7
forall_opus_xhigh,451,retained_snapshot,accepted,39.5
forall_opus_xhigh,452,retained_snapshot,accepted,95.4
forall_opus_xhigh,453,retained_snapshot,accepted,106.5
forall_opus_xhigh,455,retained_snapshot,accepted,100.1
forall_opus_xhigh,456,retained_snapshot,accepted,42.7
forall_opus_xhigh,457,retained_snapshot,accepted,96.7
forall_opus_xhigh,458,retained_snapshot,accepted,129.9
forall_opus_xhigh,459,retained_snapshot,accepted,138.1
forall_opus_xhigh,460,retained_snapshot,accepted,120.2
forall_opus_xhigh,462,retained_snapshot,accepted,44.4
forall_opus_xhigh,466,retained_snapshot,accepted,121.1
forall_opus_xhigh,467,retained_snapshot,accepted,35.6
forall_opus_xhigh,468,retained_snapshot,accepted,344.0
forall_opus_xhigh,469,retained_snapshot,accepted,32.9
forall_opus_xhigh,471,retained_snapshot,accepted,33.1
forall_opus_xhigh,472,retained_snapshot,accepted,32.7
forall_opus_xhigh,473,retained_snapshot,accepted,30.6
claude_opus_low,122,retained_snapshot,accepted,90.9
claude_opus_low,123,retained_snapshot,accepted,52.9
claude_opus_low,124,retained_snapshot,accepted,57.2
claude_opus_low,125,retained_snapshot,accepted,59.7
claude_opus_low,126,retained_snapshot,accepted,73.3
claude_opus_low,127,retained_snapshot,accepted,98.8
claude_opus_low,128,retained_snapshot,rejected_axiom,84.9
claude_opus_low,129,retained_snapshot,rejected_axiom,84.1
claude_opus_low,131,retained_snapshot,accepted,56.5
claude_opus_low,132,retained_snapshot,accepted,68.2
claude_opus_low,133,retained_snapshot,accepted,54.8
claude_opus_low,134,retained_snapshot,accepted,71.1
claude_opus_low,135,retained_snapshot,accepted,50.6
claude_opus_low,136,retained_snapshot,accepted,45.3
claude_opus_low,137,retained_snapshot,accepted,72.9
claude_opus_low,138,retained_snapshot,accepted,51.8
claude_opus_low,139,retained_snapshot,accepted,52.8
claude_opus_low,140,retained_snapshot,accepted,65.7
claude_opus_low,141,retained_snapshot,accepted,55.5
claude_opus_low,142,retained_snapshot,accepted,46.0
claude_opus_low,143,retained_snapshot,accepted,53.3
claude_opus_low,144,retained_snapshot,accepted,49.3
claude_opus_low,145,retained_snapshot,rejected_axiom,74.6
claude_opus_low,146,retained_snapshot,accepted,33.8
claude_opus_low,147,retained_snapshot,accepted,47.3
claude_opus_low,148,retained_snapshot,accepted,46.6
claude_opus_low,149,retained_snapshot,rejected_axiom,99.9
claude_opus_low,150,retained_snapshot,accepted,56.1
claude_opus_low,152,retained_snapshot,rejected_axiom,71.5
claude_opus_low,153,retained_snapshot,rejected_axiom,79.0
claude_opus_low,154,retained_snapshot,accepted,69.0
claude_opus_low,155,retained_snapshot,accepted,89.9
claude_opus_low,156,retained_snapshot,accepted,57.2
claude_opus_low,157,retained_snapshot,accepted,67.2
claude_opus_low,158,retained_snapshot,harness_module_artifact,100.9
claude_opus_low,159,retained_snapshot,accepted,75.0
claude_opus_low,160,retained_snapshot,accepted,59.6
claude_opus_low,161,retained_snapshot,accepted,77.6
claude_opus_low,163,retained_snapshot,accepted,54.5
claude_opus_low,164,retained_snapshot,accepted,72.7
claude_opus_low,165,retained_snapshot,accepted,61.1
claude_opus_low,168,retained_snapshot,accepted,75.1
claude_opus_low,169,retained_snapshot,accepted,64.0
claude_opus_low,171,retained_snapshot,accepted,180.8
claude_opus_low,176,retained_snapshot,accepted,130.9
claude_opus_low,178,retained_snapshot,accepted,155.7
claude_opus_low,265,retained_snapshot,accepted,3.5
claude_opus_low,266,retained_snapshot,accepted,3.2
claude_opus_low,268,retained_snapshot,accepted,2.8
claude_opus_low,445,retained_snapshot,accepted,302.5
claude_opus_low,446,retained_snapshot,accepted,239.5
claude_opus_low,447,retained_snapshot,accepted,255.4
claude_opus_low,450,retained_snapshot,accepted,239.8
claude_opus_low,451,retained_snapshot,accepted,91.1
claude_opus_low,452,retained_snapshot,accepted,157.0
claude_opus_low,453,retained_snapshot,accepted,127.7
claude_opus_low,454,retained_snapshot,harness_module_artifact,143.5
claude_opus_low,455,retained_snapshot,accepted,121.0
claude_opus_low,456,retained_snapshot,accepted,73.3
claude_opus_low,457,retained_snapshot,rejected_axiom,166.9
claude_opus_low,458,retained_snapshot,accepted,195.9
claude_opus_low,459,retained_snapshot,accepted,134.1
claude_opus_low,460,retained_snapshot,accepted,85.4
claude_opus_low,462,retained_snapshot,accepted,36.0
claude_opus_low,466,retained_snapshot,accepted,145.3
claude_opus_low,467,retained_snapshot,accepted,45.8
claude_opus_low,468,retained_snapshot,accepted,482.6
claude_opus_low,469,retained_snapshot,accepted,41.3
claude_opus_low,471,retained_snapshot,accepted,37.1
claude_opus_low,472,retained_snapshot,accepted,37.3
claude_opus_low,473,retained_snapshot,accepted,36.5
forall_fable_low,121,retained_snapshot,accepted,76.7
forall_fable_low,122,retained_snapshot,accepted,60.8
forall_fable_low,123,retained_snapshot,accepted,69.5
forall_fable_low,124,retained_snapshot,accepted,83.5
forall_fable_low,125,retained_snapshot,accepted,85.2
forall_fable_low,126,retained_snapshot,accepted,56.5
forall_fable_low,127,retained_snapshot,accepted,79.7
forall_fable_low,128,retained_snapshot,rejected_axiom,87.2
forall_fable_low,129,retained_snapshot,rejected_axiom,61.4
forall_fable_low,131,retained_snapshot,accepted,40.1
forall_fable_low,132,retained_snapshot,accepted,61.3
forall_fable_low,133,retained_snapshot,accepted,80.2
forall_fable_low,134,retained_snapshot,accepted,92.3
forall_fable_low,135,retained_snapshot,accepted,47.3
forall_fable_low,136,retained_snapshot,accepted,40.3
forall_fable_low,137,retained_snapshot,accepted,81.2
forall_fable_low,138,retained_snapshot,accepted,55.4
forall_fable_low,139,retained_snapshot,accepted,72.2
forall_fable_low,140,retained_snapshot,accepted,107.1
forall_fable_low,141,retained_snapshot,accepted,61.9
forall_fable_low,142,retained_snapshot,accepted,49.9
forall_fable_low,143,retained_snapshot,accepted,72.1
forall_fable_low,144,retained_snapshot,accepted,57.1
forall_fable_low,145,retained_snapshot,rejected_axiom,80.1
forall_fable_low,146,retained_snapshot,accepted,73.6
forall_fable_low,147,retained_snapshot,accepted,78.4
forall_fable_low,148,retained_snapshot,accepted,80.4
