configuration_id,task_id,recorded_status,retained_outcome,evidence_basis,attempt_scope,review_rounds,solved_on_sample,recorded_elapsed_seconds,recorded_proof_sha256,artifact_sha256,artifact_hash_check
claude_opus_xhigh,4,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,5,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,14,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,15,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,29,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,121,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,122,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,123,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,124,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,125,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,126,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,127,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,128,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,129,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,131,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,132,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,133,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,134,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,135,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,136,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,137,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,138,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,139,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,140,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,141,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,142,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,143,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,144,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,145,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,146,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,147,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,148,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,149,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,150,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,152,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,153,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,154,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
claude_opus_xhigh,155,solved,accepted,result,retained_run,,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unrecorded
